0	[227, 228, 232, 233, 371, 421, 427, 434, 559, 678, 806, 883, 949, 950, 981, 1244, 1269, 1370, 1391, 1393, 1989, 2026, 2227, 2229, 2302, 2377, 2400, 2449, 2475, 2581, 2588, 2589, 2688, 2711, 2818, 2822, 2824, 2849, 2931, 3115, 3240, 3662, 3691, 3704, 3756, 3757, 3758, 3851, 3992, 4017, 4048, 4473, 4530, 4549, 4589, 4706, 4735, 4768, 5224, 5244, 5274, 5298, 5332, 5842, 5916, 6031, 6097, 6289, 6301, 6306, 6405, 6853, 6867, 6890, 6931, 6966, 7063, 7149, 7191, 7192, 7223, 7400, 7434, 7620, 7662, 7915, 8040, 8100, 8134, 8254, 8273, 8364, 8370, 8444, 8445, 8545, 8701, 8810, 8875, 9323, 9459, 9517, 9543, 9635, 10049, 10376, 10492, 11812, 11940, 12211, 12968, 12996, 12997, 13279, 13286, 13287, 13424, 13468, 13646, 13729, 13787, 14616, 14700, 14753, 14861, 14863, 14931, 15417, 15537, 15729, 15742, 15787, 15849, 15885, 15889, 15904, 15906, 15912, 15915, 15929, 15932, 15995, 16100, 16155, 16161, 16215, 16365, 16366, 16367, 16371, 16559, 17458, 17589, 17591, 17892, 18018, 18125, 18308, 18365, 18384, 18546, 18549, 18759, 19153, 19223, 19397, 19399, 19400, 19469, 19471, 19479, 19481, 19496, 19503, 19538, 19552, 19566, 19592, 19665, 19666, 19677, 19702, 19798, 19819, 19935, 20087, 20164, 20182, 20231, 20366, 20592, 20930, 20933, 20992, 21350, 21436, 22069, 22070, 22076, 22085, 22086, 22710, 23007, 23042, 23188, 23399, 23405, 23411, 23414, 23415, 23417, 23418, 23419, 23567, 23958, 24070, 24115, 24131, 24294, 24295, 24296, 24297, 24303, 24304, 24305, 24306, 24307, 24308, 24309, 24310, 24363, 24450, 24451, 24492, 24493, 24526, 24786, 24820, 24965, 24966, 25094, 25095, 25113, 25122, 25191, 25290, 25346, 25786, 25850, 26018, 26019, 26036, 26047, 26145, 26448, 26618, 26630, 26847, 26861, 27166, 27334, 27391, 27883, 28035, 28057, 28060, 28186, 28220, 28307, 28589, 28590, 28674, 28683, 28783, 29540, 29541, 29609, 29687, 29831, 29853, 29854, 29855, 29883, 29920, 29946, 30026, 30096, 30176, 30328, 30471, 30478, 30479, 30698, 30710, 30829, 30962, 31697, 31724, 31832, 31910, 31935, 31947, 31948, 31949, 31951, 31976, 32030, 32039, 32086, 32110, 32265, 32292, 32300, 32315, 32498, 32516, 32517, 32543, 32811, 32832, 32879, 33058, 33060, 33066, 33161, 35970, 36049, 36101, 36102, 36137, 36377, 36454, 36460, 36622, 36738, 36767, 36806, 36811, 36874, 37094, 37120, 37142, 37148, 37206, 37557, 37610, 37676, 37796, 37803, 37898, 38036, 38037, 38040, 38280, 38296, 38616, 38910, 38912, 38929, 39173, 39175, 39378, 39448, 39654, 39716, 39808, 39902, 40356, 40357, 40437, 40453, 40458, 40584, 40909, 41025, 41050, 41110, 41187, 41212, 41587, 41736, 41957, 41993, 42015, 42024, 42091, 42103, 42124, 42141, 42155, 42200, 42208, 42573, 42587, 42751, 42982, 43412, 43413, 43587, 43787, 44031, 44066, 44348, 44618, 44769, 46710, 46711, 46715, 47552, 48301, 48536, 48561, 48710, 48723, 48725, 48933, 48935, 48990, 49416, 49444, 49450, 49457, 49458, 49518, 49519, 49520, 49521, 49528, 49535, 49549, 49550, 50235, 50239, 50270, 50279, 50575, 50576, 50582, 50624, 50627, 50634, 50635, 50643, 50644, 50645, 50648, 50657, 50727, 50774, 51364, 51395, 51412, 51453, 51458, 52074, 52230, 52604, 52644, 52998, 53030, 53031, 53049, 53389, 53711, 53712, 53713, 53791, 53792, 53826, 53827, 53828, 53829, 53831, 53835, 53838, 53839, 53842, 53847, 53850, 53852, 53856, 53858, 53860, 53862, 53863, 53867, 53868, 53870, 54118, 54120, 54125, 54227, 54323, 54337, 54481, 54541, 54768, 55141, 55166, 55412, 55484, 55501, 55551, 55916, 55979, 55987, 56015, 56032, 56159, 56277, 56321, 56443, 56534, 56778, 56811, 57092, 57312, 57367, 57759, 57760, 58267, 58315, 58316, 58408, 58477, 58478, 58500, 58736, 58824, 58971, 58972, 59144, 59153, 59154, 59211, 59212, 59756, 60200, 60205, 60362, 60387, 60656, 60666, 60670, 60671, 60673, 60678, 60719, 60725, 60730, 60762, 60763, 60827, 60921, 61291, 61445, 61614, 61659, 61662, 61721, 61763, 61853, 61854, 61856, 61857, 61858, 61860, 61861, 61863, 61864, 61865, 61866, 61867, 62067, 62407, 62550, 62561, 62659, 62660, 62679, 62917, 63059, 63195, 63207, 63440, 63442, 63545, 63561, 63571, 63587, 63672, 63708, 63709, 63838, 63934, 63995, 64047, 64342, 65091, 65190, 65241, 65279, 65331, 65339, 65455, 65458, 65459, 65466, 65524, 65752, 65850, 65894, 66300, 66301, 66303, 66762, 66887, 67064, 67329, 67380, 67453, 67464, 67482, 67498, 67578, 67649, 67661, 67757, 67801, 67951, 68063, 68064, 68066, 68067, 68261, 68659, 68830, 68948, 69026, 69124, 69141, 69803, 69844, 69978, 70216, 70254, 70331, 70527, 70734, 70843, 70924, 71082, 71090, 71091, 71092, 71099, 71183, 71217, 71259, 71311, 71339, 71568, 71577, 71579, 71584, 71627, 71628, 71664, 71745, 71765, 71774, 71825, 71933, 71936, 71939, 71941, 72066, 72070, 72114, 72130, 72184, 72218, 72363, 72373, 72376, 72383, 72384, 72385, 72482, 72483, 72484, 72767, 72935, 72962, 73074, 73141, 73351, 73502, 73761, 73848, 73850, 74131, 74142, 74144, 74145, 74174, 74215, 74275, 74405, 74407, 74427, 74662, 74944, 75426, 75427, 75470, 75866, 76225, 76266, 76279, 76550, 76596, 76598, 76907, 76908, 76919, 76920, 76921, 76922, 77079, 77148, 77445, 77623, 77641, 77730, 77866, 78045, 78114, 78638, 78656, 78657, 78733, 78858, 78951, 79036, 79038, 79100, 79504, 79814, 79815, 79816, 79879, 79948, 80021, 80057, 80121, 80141, 80181, 80186, 80263, 80290, 80349, 80350, 80363, 80410, 80411, 80766, 80772, 80776, 80777, 80831, 80896, 80917, 80932, 80949, 80955, 81048, 81049, 81073, 81507, 81659, 81661, 81724, 81931, 81938, 82167, 82168, 82281, 82487, 82625, 82669, 82750, 82751, 82856, 82906, 83082, 83229, 83238, 83275, 83568, 83623, 83754, 83770, 83825, 83826, 83833, 84123, 84509, 84515, 84602, 84634, 84635, 84697, 84748, 84758, 84799, 84860, 84878, 85042, 85134, 85550, 85765, 85985, 85986, 86048, 86126, 86147, 86369, 86387, 86412, 86458, 86465, 86497, 86582, 86784, 87074, 87177, 88274, 89166, 89190, 89236, 89579, 89582, 89583, 89783, 89784, 89786, 89788, 89790, 89791, 89792, 89793, 90061, 90400, 90491, 90622, 90890, 90916, 90939, 90956, 91046, 91422, 91535, 91546, 91663, 91665, 91792, 91942, 92037, 92038, 92058, 92110, 92225, 92893, 92913, 92922, 92989, 93073, 93262, 93263, 93489, 93556, 93615, 94018, 94316, 94414, 94560, 95313, 95338, 95447, 95545, 95562, 95788, 95916, 95940, 96058, 97013, 97061, 97370, 97852, 97891, 97920, 98372, 98394, 98451, 98452, 98485, 98622, 98645, 98723]
1	[31500, 32230, 89389]
2	[18741, 27833, 86138]
3	[58224, 64781, 74182]
4	[27671, 33311, 37572, 80088]
5	[3673, 74804]
6	[47061]
7	[62448]
8	[82840]
9	[70601, 88386]
10	[17432]
11	[92708]
12	[25274]
13	[57149, 66457]
14	[76340]
15	[36631]
16	[6171]
17	[3728, 12606, 23524, 24833, 40692, 42844, 43905, 46736, 56717, 57723, 74498, 74914, 90727]
18	[95876]
19	[9901, 17713, 19601, 21501, 22321, 44291, 45280, 46802, 49012, 51570, 58637, 73689, 75125, 76669, 80173, 90883, 95250]
20	[27278, 64779, 79481]
21	[54888]
22	[16832, 22668, 24462, 44939, 47819, 48542, 59465, 66054, 70896, 75036, 84324, 84347, 86116, 87017]
23	[17961, 24794, 94214]
24	[59326]
25	[28299, 54763, 57355, 80597]
26	[91218]
27	[1731, 2999, 3316, 3334, 3408, 4654, 5271, 5422, 5423, 5762, 6448, 9890, 10657, 10703, 10733, 10751, 11472, 11556, 11859, 12307, 12641, 13030, 13128, 13319, 13749, 14667, 14999, 15190, 15361, 17897, 17974, 17985, 19693, 21723, 21807, 22272, 22499, 22623, 22624, 22733, 22945, 23181, 23279, 23564, 24652, 24837, 25038, 25637, 26496, 26536, 26606, 27235, 27720, 27749, 27754, 27768, 27784, 27790, 31168, 31577, 32694, 32697, 32791, 32990, 33253, 33361, 33596, 34215, 34282, 36494, 36523, 37532, 38392, 40791, 41650, 42568, 43200, 43242, 43536, 43603, 43649, 43726, 43783, 44158, 44198, 44708, 44719, 44721, 44730, 44984, 45401, 45569, 45753, 45864, 46096, 46624, 47466, 48471, 49089, 49300, 49365, 50748, 50751, 51790, 51889, 51967, 52459, 52493, 53404, 54425, 54919, 56045, 57959, 57973, 57984, 58054, 59243, 59284, 59343, 59392, 59513, 59699, 59982, 60019, 60844, 61554, 63330, 66806, 67096, 67600, 68222, 68223, 68242, 68366, 68487, 68504, 68523, 68859, 69208, 69235, 69281, 70017, 72567, 74027, 74897, 75055, 75408, 75415, 75532, 75740, 75764, 76235, 76257, 76435, 77673, 78689, 78874, 79437, 79630, 79654, 79710, 80175, 80338, 80443, 81408, 81423, 83532, 83607, 83997, 84028, 84041, 84140, 84229, 85551, 86470, 87010, 89704, 89735, 89742, 89852, 90138, 90160, 90191, 90192, 90202, 93482, 93960, 94193, 94279, 94477, 95097, 96633, 98185]
28	[75152]
29	[46185]
30	[40605]
31	[10177, 45105]
32	[3344, 34273, 48813, 54566, 84306]
33	[3823, 6735, 10011, 10511, 11497, 11870, 11930, 18077, 22126, 24835, 25639, 27145, 27729, 29971, 30569, 32373, 33251, 44689, 45247, 45954, 47152, 48911, 52297, 52402, 53078, 54567, 55580, 58708, 59448, 59993, 67173, 69205, 72330, 73640, 73736, 75518, 76105, 76704, 76745, 77197, 78178, 82523, 84192, 84266, 85744, 86033, 86238, 90282, 94476, 94632]
34	[68738]
35	[1613, 3725, 5589, 11153, 11621, 12942, 17852, 22178, 26186, 26370, 30086, 30574, 39316, 44003, 45341, 45651, 47418, 49054, 49573, 52840, 54043, 70161, 90421]
36	[12570]
37	[12197, 73729]
38	[3324, 3841, 30637, 48426, 49862, 76904, 97483]
39	[68509]
40	[73228]
41	[16910, 53239]
42	[3000, 94206]
43	[80485]
44	[6217, 10182, 10812, 17007, 22132, 44561, 52761, 57542, 69346, 75046, 83980, 90338]
45	[25202]
46	[12946]
47	[1376]
48	[46723]
49	[18769]
50	[96528]
51	[12401, 20440, 21734, 27136, 27495, 29751, 31390, 31853, 32798, 34283, 42834, 46987, 47440, 48701, 56038, 56699, 57544, 57667, 68599, 74115, 78872, 79905, 87160, 90206, 96939]
52	[45855]
53	[58264]
54	[2084, 2121, 2279, 3099, 3331, 3610, 4224, 4269, 4679, 5076, 5267, 5596, 5707, 6117, 6163, 6511, 6774, 6789, 6790, 7569, 7786, 8379, 8621, 8844, 10271, 10299, 10804, 10843, 10860, 12190, 13557, 14433, 14666, 15664, 17107, 17172, 17408, 17603, 17674, 17752, 17909, 17971, 18059, 18068, 18224, 19492, 20249, 21163, 21196, 21319, 21735, 21994, 22275, 22401, 22579, 22837, 23180, 23891, 24062, 24543, 24773, 24846, 24897, 25721, 26194, 26256, 26514, 27241, 27264, 28243, 28473, 29897, 30108, 30192, 31550, 31721, 32724, 34052, 36278, 37480, 37753, 38390, 38469, 39337, 39952, 40049, 40707, 41453, 41521, 41536, 41563, 41601, 42384, 43096, 43257, 43266, 43333, 43604, 43806, 43889, 43971, 44295, 44563, 44724, 44729, 44821, 44878, 44964, 45083, 45111, 45242, 45312, 45524, 45646, 45959, 46181, 46183, 46502, 46599, 46740, 46847, 47344, 47460, 47477, 47655, 47943, 48926, 48941, 49609, 50507, 50530, 50677, 50769, 50949, 51017, 51992, 52158, 52308, 52362, 52400, 53251, 53254, 53273, 54042, 54940, 54950, 55208, 55666, 55812, 56437, 56781, 56956, 56976, 57623, 57840, 58529, 58704, 59279, 59662, 59691, 60166, 60420, 60473, 62236, 62598, 64162, 64187, 64228, 64255, 64331, 64372, 64778, 66190, 66200, 68087, 68295, 68465, 68528, 69224, 70172, 70712, 71618, 72533, 73412, 73428, 73592, 73661, 73852, 74729, 75015, 75370, 75950, 76490, 76746, 76873, 78103, 78131, 79225, 79629, 79644, 80172, 80527, 81118, 81976, 82020, 83521, 83960, 84105, 84374, 85080, 85751, 86483, 86515, 86647, 86663, 86970, 87288, 88302, 88481, 88646, 89685, 89856, 90859, 91090, 91776, 93477, 93503, 94072, 95629, 96497, 96860, 96969, 97347, 97350, 97681, 97989, 98524, 98734]
55	[4699]
56	[91689]
57	[10347]
58	[4532, 6823, 7611, 10323, 15530, 29699, 34124, 37962, 43631, 45259, 45834, 57297, 58100, 59542, 60281, 79236, 82441, 98307]
59	[14849]
60	[6394, 40151, 50918, 68641, 83351]
61	[54610, 69673, 96360]
62	[2101, 3012, 3018, 3596, 5047, 10711, 11555, 12294, 12727, 15662, 17238, 17687, 20333, 21507, 21875, 24720, 27045, 31391, 33359, 37113, 43123, 43205, 44002, 45141, 45372, 46493, 46877, 47408, 49349, 53120, 56812, 57535, 59374, 59514, 66692, 68277, 68477, 69923, 73992, 74884, 78885, 79643, 84311]
63	[21324, 70925, 86452]
64	[13436, 27100, 83050]
65	[31135]
66	[74097]
67	[85031]
68	[70316]
