entity,dbpedia
Q100,Boston
Q1000,Gabon
Q1000017,Brentidae
Q1000065,"Neosho,_Missouri"
Q10001,Deventer
Q1000115,Faversham
Q1000129,Finsp%C3%A5ng
Q1000148,"Eaton,_Ohio"
Q1000166,"South_Portland,_Maine"
Q10002,Enschede
Q1000217,"Eveleth,_Minnesota"
Q1000222,"Port_Huron,_Michigan"
Q1000241,"New_Philadelphia,_Ohio"
Q100026,General_Dynamics_F-16_Fighting_Falcon
Q1000336,Tandil
Q1000366,Bucky_Pizzarelli
Q1000370,Pinales
Q100041,"Carpi,_Emilia-Romagna"
Q100047,Amiga
Q1000485,Raebareli
Q1000549,Bud_Thackery
Q1000597,Burton_upon_Trent
Q10006,Hengelo
Q100060,Maranello
Q1000642,"Summit,_New_Jersey"
Q1000656,Felixstowe
Q1000662,"Stamford,_Lincolnshire"
Q1000679,Wokingham
Q1000717,Tewkesbury
Q1000740,Goole
Q100077,Patna_district
Q1000817,Leiderdorp
Q100082,Purnia_district
Q1001,Mahatma_Gandhi
Q1001056,"Dalby,_Queensland"
Q1001104,Temirtau
Q1001114,Buddy_Baker_(composer)
Q1001134,"Hilton_Head_Island,_South_Carolina"
Q1001154,Sollefte%C3%A5
Q100117,Samastipur_district
Q1001188,Buddy_Emmons
Q1001214,Buddy_Ebsen
Q1001272,Buddy_Parker
Q1001285,Buddy_Morrow
Q10013,Hardenberg
Q100130,Vaishali_district
Q1001316,"Kennesaw,_Georgia"
Q10014,"Kampen,_Overijssel"
Q1001416,"Roseau,_Minnesota"
Q100144,Sitamarhi_district
Q1001440,P%C3%A9tion-Ville
Q1001448,"Ossipee,_New_Hampshire"
Q1001456,"London,_Ohio"
Q1001479,Battle_of_Cape_Finisterre_(1805)
Q1001487,Finley_(band)
Q1001522,Navojoa
Q1001536,Budleigh_Salterton
Q10016,Oldenzaal
Q1001626,North_Vancouver_(city)
Q100166,Orkney
Q1001742,"Holland,_Michigan"
Q10018,Ommen
Q1001828,"Port_Townsend,_Washington"
Q1001862,Bueng_Kan_province
Q100188,Cluj-Napoca
Q1001891,"Saco,_Maine"
Q1001905,Eksj%C3%B6
Q1001935,Stranraer
Q1001942,Oakham
Q1002101,Buffalo_Tom
Q1002124,Lanark
Q1002133,Dunbar
Q1002144,"Southport,_Queensland"
Q1002194,Virginia_Beach_Mariners
Q10022,Steenwijkerland
Q1002205,"Buford,_Georgia"
Q1002229,Municipality_of_Vipava
Q1002254,Wacky_Races_(1968_TV_series)
Q1002277,Last_Autumn%27s_Dream
Q1002345,Townshend_Stith_Brandegee
Q1002371,Municipality_of_Maj%C5%A1perk
Q1002374,Carnivoramorpha
Q1002388,"Skowhegan,_Maine"
Q1002442,Silvanidae
Q1002445,"Poughkeepsie_(town),_New_York"
Q1002465,Acid_Jazz_Records
Q1002490,"New_Bern,_North_Carolina"
Q1002506,"Fairfield,_Ohio"
Q1002570,Bugis
Q1002577,Tulu%C3%A1
Q1002631,"Greeneville,_Tennessee"
Q1002641,"Rhinelander,_Wisconsin"
Q1002645,"Whippany,_New_Jersey"
Q10027,Baarn
Q1002812,Metropolitan_borough
Q1002824,Forcipulatida
Q1002826,Alnwick
Q1002841,Ivanjica
Q1002843,Buick_Rainier
Q1002863,Municipality_of_Videm
Q1002926,"Vienna,_Virginia"
Q1003074,"Glen_Ridge,_New_Jersey"
