entity,classes
Allen_Toussaint,{'MusicalArtist'}
Charles_H._Townes,{'Scientist'}
Mesolia,{'Insect'}
"Mamak,_Ankara","{'AdministrativeRegion', 'Location', 'Settlement'}"
Benoît_Delépine,{'Person'}
Kate_Reid,{'Person'}
Armando_Evangelista,"{'SoccerManager', 'SoccerPlayer'}"
Air_National_Guard,{'MilitaryUnit'}
"Prince_Ferdinando,_Duke_of_Genoa_(1822–1855)",{'Royalty'}
Mr._Freedom,{'Film'}
Isaac_Cuenca,{'SoccerPlayer'}
The_Arcs,{'Band'}
Tim_Janssen,{'SoccerPlayer'}
Salvatore_Ferraro,{'SoccerPlayer'}
Mumm-Ra_(band),"{'MusicalArtist', 'Band'}"
Maksim_Andreyevich_Fyodorov,{'SoccerPlayer'}
The_Crimson_Pirate,"{'Film', 'Person'}"
Derbyshire_Building_Society,{'Bank'}
Panhard_M3,{'Weapon'}
Muzaffarpur-Gorakhpur_main_line,{'RailwayLine'}
Tom_Root,{'Person'}
Chester_Conklin,{'Person'}
Baby_I_Need_Your_Loving,"{'Single', 'Song'}"
Martita_Hunt,{'Person'}
Brunia_(moth),{'Insect'}
Jean_Gaston_Darboux,{'Scientist'}
Helicobacter,"{'Insect', 'Species'}"
Fairyland_(band),{'Band'}
Ragnhild_Furebotten,{'MusicalArtist'}
Plains_Garter_Snake,{'Reptile'}
Oncidium_pectorale,{'Plant'}
One_Race_Films,{'Company'}
Tiago_Valente,{'SoccerPlayer'}
Shaun_Ross_(musician),{'MusicalArtist'}
The_Chew,{'TelevisionShow'}
Platanthera_yosemitensis,{'Plant'}
Massimiliano_Scaglia,{'SoccerPlayer'}
Líderes,{'Album'}
Otto_Bauer,"{'OfficeHolder', 'Politician'}"
Pyraloidea,{'Insect'}
"Lacolle,_Quebec","{'Location', 'Town'}"
Problem_Child_(The_Damned_song),"{'Single', 'Song'}"
Manchurian_wapiti,{'Animal'}
Biology_(band),{'Band'}
Orla_Brady,{'Person'}
Lady_Pamela_Hicks,{'Noble'}
Melton_(horse),"{'RaceHorse', 'Horse'}"
Lisa_Maffia,{'MusicalArtist'}
Lynn_Morley_Martin,"{'OfficeHolder', 'Politician'}"
Ioannis_Kontis,{'SoccerPlayer'}
