entity,classes
$_(film),"{'http://dbpedia.org/ontology/Film', 'http://www.wikidata.org/entity/Q11424', 'http://schema.org/Movie'}"
&ME,"{'http://dbpedia.org/ontology/Film', 'http://www.wikidata.org/entity/Q11424', 'http://schema.org/Movie'}"
'Cause_I'm_a_Man,"{'http://dbpedia.org/ontology/Song', 'http://www.wikidata.org/entity/Q134556', 'http://dbpedia.org/ontology/Single'}"
(Ain't_Nobody_Loves_You)_Like_I_Do,"{'http://dbpedia.org/ontology/Song', 'http://www.wikidata.org/entity/Q134556', 'http://dbpedia.org/ontology/Single'}"
(Can't_Get_My)_Head_Around_You,"{'http://dbpedia.org/ontology/Song', 'http://www.wikidata.org/entity/Q134556', 'http://dbpedia.org/ontology/Single'}"
(Come_'Round_Here)_I'm_the_One_You_Need,"{'http://dbpedia.org/ontology/Song', 'http://www.wikidata.org/entity/Q134556', 'http://dbpedia.org/ontology/Single'}"
(I_Can't_Help_You)_I'm_Falling_Too,"{'http://dbpedia.org/ontology/Song', 'http://www.wikidata.org/entity/Q134556', 'http://dbpedia.org/ontology/Single'}"
(I_Don't_Need_You_To)_Set_Me_Free,"{'http://dbpedia.org/ontology/Song', 'http://www.wikidata.org/entity/Q134556', 'http://dbpedia.org/ontology/Single'}"
(I_Know)_I'm_Losing_You,"{'http://dbpedia.org/ontology/Song', 'http://www.wikidata.org/entity/Q134556', 'http://dbpedia.org/ontology/Single'}"
(Sweet_Sweet_Baby)_Since_You've_Been_Gone,"{'http://dbpedia.org/ontology/Song', 'http://www.wikidata.org/entity/Q134556', 'http://dbpedia.org/ontology/Single'}"
(Turn_Out_the_Light_And)_Love_Me_Tonight,"{'http://dbpedia.org/ontology/Song', 'http://www.wikidata.org/entity/Q134556', 'http://dbpedia.org/ontology/Single'}"
(You_Can_Still)_Rock_in_America,"{'http://dbpedia.org/ontology/Song', 'http://www.wikidata.org/entity/Q134556', 'http://dbpedia.org/ontology/Single'}"
.NET_Framework,"{'http://dbpedia.org/ontology/Software', 'http://www.wikidata.org/entity/Q7397', 'http://www.wikidata.org/entity/Q9143', 'http://dbpedia.org/ontology/ProgrammingLanguage'}"
007:_Licence_to_Kill,"{'http://dbpedia.org/ontology/VideoGame', 'http://www.wikidata.org/entity/Q7889'}"
1-2-3_(Gloria_Estefan_and_Miami_Sound_Machine_song),"{'http://dbpedia.org/ontology/Song', 'http://www.wikidata.org/entity/Q134556', 'http://dbpedia.org/ontology/Single'}"
1._FC_Saarbrücken,"{'http://www.wikidata.org/entity/Q476028', 'http://schema.org/SportsTeam', 'http://www.wikidata.org/entity/Q12973014', 'http://dbpedia.org/ontology/SportsTeam', 'http://dbpedia.org/ontology/SoccerClub'}"
1._FK_Příbram,"{'http://www.wikidata.org/entity/Q476028', 'http://schema.org/SportsTeam', 'http://www.wikidata.org/entity/Q12973014', 'http://dbpedia.org/ontology/SportsTeam', 'http://dbpedia.org/ontology/SoccerClub'}"
10-8:_Officers_on_Duty,"{'http://www.wikidata.org/entity/Q11424', 'http://dbpedia.org/ontology/TelevisionShow', 'http://dbpedia.org/ontology/Film', 'http://schema.org/Movie', 'http://www.wikidata.org/entity/Q15416'}"
"100,000_Whys","{'http://dbpedia.org/ontology/Album', 'http://www.wikidata.org/entity/Q482994', 'http://schema.org/MusicAlbum'}"
1000_Smiling_Knuckles,"{'http://dbpedia.org/ontology/Album', 'http://www.wikidata.org/entity/Q482994', 'http://schema.org/MusicAlbum'}"
100_(30_Rock),"{'http://schema.org/TVEpisode', 'http://dbpedia.org/ontology/TelevisionEpisode'}"
101st_Airborne_Division,"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
106th_Infantry_Division_(United_States),"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
107th_Pennsylvania_Infantry,"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/MilitaryUnit'}"
10_Things_I_Hate_About_You_(TV_series),"{'http://dbpedia.org/ontology/TelevisionShow', 'http://www.wikidata.org/entity/Q15416'}"
10_to_Midnight,"{'http://dbpedia.org/ontology/Film', 'http://www.wikidata.org/entity/Q11424', 'http://schema.org/Movie'}"
"10th_Battalion_(Canadians),_CEF","{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
10th_Vermont_Infantry,"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/MilitaryUnit'}"
10vor10,"{'http://www.wikidata.org/entity/Q11424', 'http://dbpedia.org/ontology/TelevisionShow', 'http://dbpedia.org/ontology/Film', 'http://schema.org/Movie', 'http://www.wikidata.org/entity/Q15416'}"
110th_Ohio_Infantry,"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/MilitaryUnit'}"
"111_Street,_Edmonton","{'http://dbpedia.org/ontology/Road', 'http://www.wikidata.org/entity/Q719456', 'http://www.wikidata.org/entity/Q34442', 'http://dbpedia.org/ontology/Station'}"
116_Clique,"{'http://www.wikidata.org/entity/Q215380', 'http://dbpedia.org/ontology/Band', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/Agent'}"
11_Gorkha_Rifles,"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
11th_Bavarian_Infantry_Division,"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
12-Bar_Original,"{'http://dbpedia.org/ontology/Song', 'http://dbpedia.org/ontology/MusicalArtist'}"
1234_(Feist_song),"{'http://dbpedia.org/ontology/Song', 'http://www.wikidata.org/entity/Q134556', 'http://dbpedia.org/ontology/Single'}"
124th_Infantry_Regiment_(United_States),"{'http://www.wikidata.org/entity/Q176799', 'http://dbpedia.org/ontology/MilitaryUnit'}"
12_Discípulos,"{'http://dbpedia.org/ontology/Album', 'http://www.wikidata.org/entity/Q482994', 'http://schema.org/MusicAlbum'}"
12_Memories,"{'http://dbpedia.org/ontology/Album', 'http://www.wikidata.org/entity/Q482994', 'http://schema.org/MusicAlbum'}"
12_Monkeys,"{'http://dbpedia.org/ontology/Film', 'http://www.wikidata.org/entity/Q11424', 'http://schema.org/Movie'}"
